Category,Region,Subject
Famous site,Europe,Troy (Turkey – legendary site of the Trojan War)
Famous site,Europe,"Colosseum (Rome, Italy – amphitheater of the Roman Empire)"
Famous site,Europe,"Roman Forum (Rome, Italy – political and social center of ancient Rome)"
Famous site,Europe,"Pantheon (Rome, Italy – temple to all gods, now a church)"
Famous site,Europe,"Circus Maximus (Rome, Italy – Roman chariot racing stadium)"
Famous site,Europe,"Baths of Caracalla (Rome, Italy – monumental Roman baths)"
Famous site,Europe,"Hadrian’s Villa (Tivoli, Italy – emperor’s retreat)"
Famous site,Europe,Pompeii (Italy – Roman city destroyed by Vesuvius)
Famous site,Europe,Herculaneum (Italy – preserved Roman city)
Famous site,Europe,Aqueduct of Segovia (Spain – Roman engineering marvel)
Famous site,Europe,Mérida Roman Theatre (Spain – ancient performing arts venue)
Famous site,Europe,Hadrian’s Wall (England – Roman defensive frontier)
Famous site,Europe,Bath (England – Roman baths and Georgian city)
Famous site,Europe,Trier Roman Monuments (Germany – Porta Nigra and other remains)
Famous site,Europe,"Diocletian’s Palace (Split, Croatia – imperial Roman residence)"
Famous site,Europe,"Hagia Sophia (Istanbul, Turkey – Byzantine cathedral, mosque, museum, mosque again)"
Famous site,Europe,"Basilica of San Vitale (Ravenna, Italy – Byzantine mosaics)"
Famous site,Europe,Aachen Cathedral (Germany – Carolingian imperial church)
Famous site,Europe,Durham Cathedral (England – Romanesque masterpiece)
Famous site,Europe,Canterbury Cathedral (England – seat of the Archbishop of Canterbury)
Famous site,Europe,"Westminster Abbey (London, England – royal coronation site)"
Famous site,Europe,"Notre Dame Cathedral (Paris, France – Gothic icon)"
Famous site,Europe,"Sainte-Chapelle (Paris, France – stained-glass marvel)"
Famous site,Europe,"Chartres Cathedral (France – Gothic architecture, stained glass)"
Famous site,Europe,Reims Cathedral (France – coronation site of French kings)
Famous site,Europe,Mont Saint-Michel (France – abbey on tidal island)
Famous site,Europe,Avignon Papal Palace (France – seat of popes in the 14th century)
Famous site,Europe,"Alhambra (Granada, Spain – Moorish palace and fortress)"
Famous site,Europe,Mezquita of Córdoba (Spain – Islamic mosque turned cathedral)
Famous site,Europe,Seville Cathedral & Giralda (Spain – Gothic cathedral with minaret bell tower)
Famous site,Europe,Santiago de Compostela Cathedral (Spain – pilgrimage destination)
Famous site,Europe,Burgos Cathedral (Spain – Gothic landmark)
Famous site,Europe,"Tower of London (England – fortress, prison, royal palace)"
Famous site,Europe,Windsor Castle (England – residence of the monarch)
Famous site,Europe,Edinburgh Castle (Scotland – fortress atop volcanic rock)
Famous site,Europe,Stirling Castle (Scotland – key Scottish fortress)
Famous site,Europe,Kraków Wawel Castle (Poland – royal residence)
Famous site,Europe,"Malbork Castle (Poland – largest brick castle in the world, Teutonic Knights)"
Famous site,Europe,"Charles Bridge (Prague, Czech Republic – medieval stone bridge)"
Famous site,Europe,Prague Castle (Czech Republic – largest ancient castle complex)
Famous site,Europe,"St. Vitus Cathedral (Prague, Czech Republic – Gothic cathedral inside castle)"
Famous site,Europe,"St. Basil’s Cathedral (Moscow, Russia – colorful onion domes)"
Famous site,Europe,"Kremlin (Moscow, Russia – fortress and political center)"
Famous site,Europe,Novgorod Kremlin (Russia – medieval fortress)
Famous site,Europe,Montserrat Monastery (Spain – mountain monastery)
Famous site,Europe,Rila Monastery (Bulgaria – spiritual and cultural center)
Famous site,Europe,Meteora Monasteries (Greece – cliff-top monasteries)
Famous site,Europe,"Montjuïc Castle (Barcelona, Spain – fortress overlooking city)"
Famous site,Europe,"Palatine Chapel (Aachen, Germany – Charlemagne’s chapel)"
Famous site,Europe,"Monreale Cathedral (Sicily, Italy – Norman-Arab-Byzantine architecture)"
Famous site,Europe,Florence Cathedral (Duomo) (Italy – Brunelleschi’s dome)
Famous site,Europe,Baptistery of Florence (Italy – bronze doors by Ghiberti)
Famous site,Europe,"Palazzo Vecchio (Florence, Italy – Renaissance civic palace)"
Famous site,Europe,"Uffizi Gallery (Florence, Italy – Renaissance art museum)"
Famous site,Europe,"Basilica of Santa Maria Novella (Florence, Italy – Renaissance façade)"
Famous site,Europe,"San Lorenzo (Florence, Italy – Medici church)"
Famous site,Europe,"St. Peter’s Basilica (Vatican City – largest church, Michelangelo’s dome)"
Famous site,Europe,Vatican Museums & Sistine Chapel (Vatican City – Michelangelo’s frescoes)
Famous site,Europe,"Piazza San Marco & Basilica (Venice, Italy – Byzantine-style cathedral)"
Famous site,Europe,"Doge’s Palace (Venice, Italy – Gothic and Renaissance palace)"
Famous site,Europe,"Rialto Bridge (Venice, Italy – iconic stone bridge)"
Famous site,Europe,El Escorial (Spain – royal palace and monastery)
Famous site,Europe,Versailles Palace (France – symbol of absolute monarchy)
Famous site,Europe,Louvre Palace (France – now world’s largest museum)
Famous site,Europe,Palace of Fontainebleau (France – Renaissance palace)
Famous site,Europe,"Schönbrunn Palace (Vienna, Austria – Habsburg summer residence)"
Famous site,Europe,"Belvedere Palace (Vienna, Austria – Baroque palace and art museum)"
Famous site,Europe,"Hofburg Palace (Vienna, Austria – imperial palace)"
Famous site,Europe,"Zwinger Palace (Dresden, Germany – Baroque complex)"
Famous site,Europe,"Sanssouci Palace (Potsdam, Germany – Frederick the Great’s residence)"
Famous site,Europe,"St. Paul’s Cathedral (London, England – Christopher Wren masterpiece)"
Famous site,Europe,Royal Palace of Madrid (Spain – residence of Spanish monarchy)
Famous site,Europe,"Piazza del Campidoglio (Rome, Italy – designed by Michelangelo)"
Famous site,Europe,"Palazzo Pitti (Florence, Italy – Medici residence)"
Famous site,Europe,"Basilica di Santa Maria della Salute (Venice, Italy – Baroque church)"
Famous site,Europe,"Eiffel Tower (Paris, France – 19th century iron landmark)"
Famous site,Europe,"Sacré-Cœur Basilica (Paris, France – 19th-century basilica on Montmartre)"
Famous site,Europe,"Arc de Triomphe (Paris, France – Napoleonic monument)"
Famous site,Europe,"Brandenburg Gate (Berlin, Germany – neoclassical triumphal arch)"
Famous site,Europe,"Reichstag Building (Berlin, Germany – parliament with modern dome)"
Famous site,Europe,Berlin Wall Memorial (Germany – Cold War history)
Famous site,Europe,"Memorial to the Murdered Jews of Europe (Berlin, Germany – Holocaust memorial)"
Famous site,Europe,"Palace of Westminster (London, England – parliament, Big Ben tower)"
Famous site,Europe,"British Museum (London, England – world cultural collection)"
Famous site,Europe,"Tower Bridge (London, England – iconic bascule bridge)"
Famous site,Europe,"Buckingham Palace (London, England – royal residence)"
Famous site,Europe,"Casa Milà (Barcelona, Spain – Gaudí modernist architecture)"
Famous site,Europe,"Sagrada Familia (Barcelona, Spain – Gaudí’s unfinished basilica)"
Famous site,Europe,"Park Güell (Barcelona, Spain – Gaudí landscape and mosaics)"
Famous site,Europe,"Casa Batlló (Barcelona, Spain – Gaudí masterpiece)"
Famous site,Europe,"Guggenheim Museum (Bilbao, Spain – modern art icon by Gehry)"
Famous site,Europe,Berlin TV Tower (Germany – Cold War modernist symbol)
Famous site,Europe,"Atomium (Brussels, Belgium – Expo ’58 pavilion)"
Famous site,Europe,"Rynek Główny (Kraków, Poland – largest medieval square in Europe)"
Famous site,Europe,"Palace of Culture and Science (Warsaw, Poland – Stalinist skyscraper)"
Famous site,Europe,Neuschwanstein Castle (Germany – 19th-century romantic castle)
Famous site,Europe,"Hermitage Museum (St. Petersburg, Russia – one of world’s largest museums)"
Famous site,Europe,"Winter Palace (St. Petersburg, Russia – residence of tsars)"
Famous site,Europe,Peterhof Palace (Russia – “Russian Versailles”)
Famous site,Europe,"St. Isaac’s Cathedral (St. Petersburg, Russia – neoclassical church)"
Famous site,Europe,"Catherine Palace (Russia – rococo palace, Amber Room)"
Famous site,Europe,"Louvre Pyramid (Paris, France – modern glass entrance by I.M. Pei)"
Famous site,Europe,Oslo Opera House (Norway – modern architecture on the fjord)
Famous site,Europe,Oresund Bridge (Denmark/Sweden – engineering marvel)
Famous site,Europe,"Millennium Bridge (London, England – pedestrian suspension bridge)"
Famous site,Europe,"Shard (London, England – tallest building in UK)"
Famous site,Europe,"La Défense (Paris, France – modern business district with Grande Arche)"
Famous site,Europe,"Pompidou Centre (Paris, France – modern art and architecture)"
Famous site,Europe,"Tate Modern (London, England – modern art museum)"
Famous site,Europe,Vatican City (entire state – unique political and religious cultural site)
Famous site,Europe,"Pena Palace (Sintra, Portugal – Romanticist palace)"
Famous site,Europe,Alcázar of Segovia (Spain – fairy-tale fortress palace)
Famous site,Europe,Alcázar of Seville (Spain – Mudejar royal palace)
Famous site,Europe,Château de Chambord (France – Renaissance Loire Valley château)
Famous site,Europe,Château de Chenonceau (France – “ladies’ château” over the river Cher)
Famous site,Europe,Château de Versailles Gardens (France – formal gardens by Le Nôtre)
Famous site,Europe,Château de Chillon (Switzerland – medieval lakeside castle)
Famous site,Europe,Hohenzollern Castle (Germany – ancestral seat of dynasty)
Famous site,Europe,Heidelberg Castle (Germany – Renaissance ruin)
Famous site,Europe,Wartburg Castle (Germany – linked to Martin Luther)
Famous site,Europe,Karlštejn Castle (Czech Republic – Gothic fortress)
Famous site,Europe,"Buda Castle (Budapest, Hungary – royal residence)"
Famous site,Europe,"Fisherman’s Bastion (Budapest, Hungary – neo-Romanesque terrace)"
Famous site,Europe,Royal Palace of Stockholm (Sweden – residence of Swedish monarchs)
Famous site,Europe,Drottningholm Palace (Sweden – UNESCO-listed royal residence)
Famous site,Europe,"Rosenborg Castle (Copenhagen, Denmark – Renaissance palace)"
Famous site,Europe,"Christiansborg Palace (Copenhagen, Denmark – government seat)"
Famous site,Europe,"Akershus Fortress (Oslo, Norway – medieval castle/fort)"
Famous site,Europe,"Kronborg Castle (Helsingør, Denmark – “Hamlet’s Castle”)"
Famous site,Europe,"Topkapi Palace (Istanbul, Turkey – Ottoman imperial palace)"
Famous site,Europe,"St. Mark’s Basilica (Venice, Italy – Byzantine cathedral)"
Famous site,Europe,"Assisi Basilica of St. Francis (Italy – pilgrimage site, frescoes)"
Famous site,Europe,Pisa Cathedral & Leaning Tower (Italy – Romanesque ensemble)
Famous site,Europe,Siena Cathedral (Italy – Gothic marble cathedral)
Famous site,Europe,"Basilica of San Marco Square (Venice, Italy – civic and religious hub)"
Famous site,Europe,"Basilica of Santa Croce (Florence, Italy – burial place of great Italians)"
Famous site,Europe,"St. George’s Basilica (Prague, Czech Republic – Romanesque church)"
Famous site,Europe,"Jasna Góra Monastery (Częstochowa, Poland – Black Madonna shrine)"
Famous site,Europe,"St. Mary’s Basilica (Kraków, Poland – Gothic church with altar by Veit Stoss)"
Famous site,Europe,"St. Alexander Nevsky Cathedral (Sofia, Bulgaria – Orthodox landmark)"
Famous site,Europe,Monastery of Alcobaça (Portugal – early Gothic monastery)
Famous site,Europe,Monastery of Batalha (Portugal – Manueline Gothic)
Famous site,Europe,"Monastery of Jerónimos (Lisbon, Portugal – Manueline style, Vasco da Gama’s tomb)"
Famous site,Europe,"St. Nicholas Church (Prague, Czech Republic – Baroque landmark)"
Famous site,Europe,Sighișoara Citadel (Romania – fortified medieval town)
Famous site,Europe,Bran Castle (Romania – associated with Dracula legend)
Famous site,Europe,Curtea de Argeș Cathedral (Romania – royal necropolis)
Famous site,Europe,Stavrovouni Monastery (Cyprus – early Christian foundation)
Famous site,Europe,Monastery of Hosios Loukas (Greece – Byzantine mosaics)
Famous site,Europe,Patriarchal Monastery of Peć (Kosovo – Serbian Orthodox heritage)
Famous site,Europe,"Red Square (Moscow, Russia – political and cultural heart)"
Famous site,Europe,"Palace Square (St. Petersburg, Russia – site of 1917 Revolution)"
Famous site,Europe,"Piazza del Duomo (Milan, Italy – Gothic cathedral square)"
Famous site,Europe,Piazza San Pietro (Vatican – St. Peter’s Square by Bernini)
Famous site,Europe,"Piazza Navona (Rome, Italy – Baroque fountains)"
Famous site,Europe,"Piazza del Campo (Siena, Italy – medieval civic square, Palio horse race)"
Famous site,Europe,"Plaza Mayor (Madrid, Spain – main square of Habsburg Madrid)"
Famous site,Europe,"Plaza de España (Seville, Spain – 20th-century landmark with canals)"
Famous site,Europe,"Old Town Square (Prague, Czech Republic – Astronomical Clock)"
Famous site,Europe,"Red Town Hall & Alexanderplatz (Berlin, Germany – modern square)"
Famous site,Europe,"Grote Markt (Brussels, Belgium – guildhalls, UNESCO site)"
Famous site,Europe,"Dam Square (Amsterdam, Netherlands – royal palace, civic center)"
Famous site,Europe,Market Square of Wrocław (Poland – Gothic-Renaissance townhouses)
Famous site,Europe,Tallinn Old Town (Estonia – medieval Hanseatic town)
Famous site,Europe,"Riga Old Town (Latvia – UNESCO heritage, Art Nouveau)"
Famous site,Europe,Vilnius Old Town (Lithuania – Baroque cityscape)
Famous site,Europe,Dubrovnik Old Town (Croatia – “Pearl of the Adriatic”)
Famous site,Europe,Kotor Old Town (Montenegro – Venetian fortress town)
Famous site,Europe,Valletta (Malta – fortified Renaissance city)
Famous site,Europe,Mdina (Malta – “Silent City” with medieval walls)
Famous site,Europe,"Prado Museum (Madrid, Spain – Spanish masters collection)"
Famous site,Europe,"Reina Sofía Museum (Madrid, Spain – Guernica by Picasso)"
Famous site,Europe,"Thyssen-Bornemisza Museum (Madrid, Spain – private art collection)"
Famous site,Europe,"Museo Nazionale Romano (Rome, Italy – Roman antiquities)"
Famous site,Europe,"Capitoline Museums (Rome, Italy – classical collections)"
Famous site,Europe,"Galleria Borghese (Rome, Italy – Baroque masterpieces)"
Famous site,Europe,"Rijksmuseum (Amsterdam, Netherlands – Dutch Golden Age art)"
Famous site,Europe,"Van Gogh Museum (Amsterdam, Netherlands – Van Gogh’s works)"
Famous site,Europe,"Anne Frank House (Amsterdam, Netherlands – WWII memorial site)"
Famous site,Europe,"Mauritshuis (The Hague, Netherlands – Vermeer’s “Girl with a Pearl Earring”)"
Famous site,Europe,"State Tretyakov Gallery (Moscow, Russia – Russian art)"
Famous site,Europe,"Pushkin Museum (Moscow, Russia – Western art)"
Famous site,Europe,"Museum Island (Berlin, Germany – five major museums, UNESCO)"
Famous site,Europe,"Pergamon Museum (Berlin, Germany – ancient monuments)"
Famous site,Europe,"Uffizi Gallery (Florence, Italy – Renaissance art)"
Famous site,Europe,"Galleria dell’Accademia (Florence, Italy – Michelangelo’s David)"
Famous site,Europe,"Musée d’Orsay (Paris, France – Impressionist collection)"
Famous site,Europe,"Centre Pompidou (Paris, France – modern art)"
Famous site,Europe,"Musée Rodin (Paris, France – works of Auguste Rodin)"
Famous site,Europe,"Louvre Museum (Paris, France – Mona Lisa, Venus de Milo)"
Famous site,Europe,"European Parliament (Brussels, Belgium – EU political center)"
Famous site,Europe,"European Central Bank (Frankfurt, Germany – EU financial hub)"
Famous site,Europe,"Palace of Nations (Geneva, Switzerland – UN headquarters Europe)"
Famous site,Europe,"CERN (Geneva, Switzerland – world’s largest particle physics lab)"
Famous site,Europe,Auschwitz-Birkenau (Poland – Holocaust memorial site)
Famous site,Europe,Dachau Concentration Camp Memorial (Germany – WWII site)
Famous site,Europe,Yad Vashem Holocaust Memorial (Israel – tied to Europe’s WWII history)
Famous site,Europe,Oradour-sur-Glane (France – WWII martyr village preserved in ruins)
Famous site,Europe,"Peace Palace (The Hague, Netherlands – international court of justice)"
Famous site,Europe,"Eurotower (Frankfurt, Germany – symbol of EU currency and finance)"
Historical character,Oceania,Hine-ahu-one
Historical character,Oceania,Kupe
Historical character,Oceania,Hoturoa
Historical character,Oceania,Paikea
Historical character,Oceania,Roi Mata
Historical character,Oceania,Olosihpa
Historical character,Oceania,Isokelekel
Historical character,Oceania,Pa‘ao
Historical character,Oceania,Pilika‘aiea
Historical character,Oceania,Ahoeitu
Historical character,Oceania,Kamehameha I
Historical character,Oceania,Kahekili II
Historical character,Oceania,Kalaniʻōpuʻu
Historical character,Oceania,Kaumualiʻi
Historical character,Oceania,ʻUmi-a-Līloa
Historical character,Oceania,Tupaia
Historical character,Oceania,Pomare I
Historical character,Oceania,Te Heuheu Tukino I
Historical character,Oceania,Moana Waialiki
Historical character,Oceania,Maui
Historical character,Oceania,Kamehameha II
Historical character,Oceania,Queen Ka‘ahumanu
Historical character,Oceania,Queen Liliʻuokalani
Historical character,Oceania,King Kalākaua
Historical character,Oceania,Te Rauparaha
Historical character,Oceania,Hongi Hika
Historical character,Oceania,Te Kooti Arikirangi Te Turuki
Historical character,Oceania,Sir Apirana Ngata
Historical character,Oceania,Sir Māui Pōmare
Historical character,Oceania,Ratu Sir Lala Sukuna
Historical character,Oceania,Ratu Sir Kamisese Mara
Historical character,Oceania,Peter O’Neill
Historical character,Oceania,Sir Michael Somare
Historical character,Oceania,José Ramos-Horta
Historical character,Oceania,Sir John Key
Historical character,Oceania,Jacinda Ardern
Historical character,Oceania,Anthony Albanese
Historical character,Oceania,Julia Gillard
Historical character,Oceania,David Lange
Historical character,Oceania,Dame Whina Cooper
Historical character,Oceania,Albert Wendt
Historical character,Oceania,Epeli Hau‘ofa
Historical character,Oceania,Witi Ihimaera
Historical character,Oceania,Dame Kiri Te Kanawa
Historical character,Oceania,Russell Crowe
Historical character,Oceania,Hugh Jackman
Historical character,Oceania,Cathy Freeman
Historical character,Oceania,Taika Waititi
Historical character,Oceania,Steven Adams
Historical character,Oceania,Patricia Grace
Historical character,Africa,Narmer (c. 3100 BC)
Historical character,Africa,Imhotep (c. 27th century BC)
Historical character,Africa,Khufu (Cheops) (c. 2580–2560 BC)
Historical character,Africa,Hatshepsut (c. 1507–1458 BC)
Historical character,Africa,Thutmose III (c. 1479–1425 BC)
Historical character,Africa,Akhenaten (c. 1353–1336 BC)
Historical character,Africa,Nefertiti (c. 14th century BC)
Historical character,Africa,Tutankhamun (c. 1332–1323 BC)
Historical character,Africa,Ramses II (the Great) (c. 1279–1213 BC)
Historical character,Africa,Taharqa (c. 690–664 BC)
Historical character,Africa,Hannibal Barca (247–183 BC)
Historical character,Africa,Masinissa (c. 238–148 BC)
Historical character,Africa,Cleopatra VII (69–30 BC)
Historical character,Africa,Septimius Severus (145–211 AD)
Historical character,Africa,Khalid ibn Yazid (c. 635–704)
Historical character,Africa,Uqba ibn Nafi (622–683)
Historical character,Africa,Ibn Khaldun (1332–1406)
Historical character,Africa,Al-Idrisi (1100–1165)
Historical character,Africa,Ibn Battuta (1304–1369)
Historical character,Africa,Abd al-Mu’min (1094–1163)
Historical character,Africa,Yusuf ibn Tashfin (c. 1061–1106)
Historical character,Africa,Al-Mansur (1184–1199)
Historical character,Africa,Sundiata Keita (c. 1217–1255)
Historical character,Africa,Queen Amina of Zazzau (late 15th century)
Historical character,Africa,Tenkamenin (11th century)
Historical character,Africa,Queen Gudit (Yodit) (10th century)
Historical character,Africa,Ella Asbeha (c. 520)
Historical character,Africa,King Merkurios of Makuria (8th century)
Historical character,Africa,"Fumo Liongo (12th–14th century, legendary)"
Historical character,Africa,Al-Maghili (15th century)
Historical character,Africa,Ahmad Baba al-Timbukti (1556–1627)
Historical character,Africa,Abd al-Qadir al-Fasi (c. 1599–1680s)
Historical character,Africa,Muhammad al-Kanemi (18th century)
Historical character,Africa,Beatriz Kimpa Vita (1684–1706)
Historical character,Africa,Mulai Ismail (1634–1727)
Historical character,Africa,Osei Kofi Tutu I (c. 1660–1717)
Historical character,Africa,King Agaja (r. 1718–1740)
Historical character,Africa,Ewuare the Great (c. 1440–1473)
Historical character,Africa,Queen Nzinga (1583–1663)
Historical character,Africa,Álvaro I of Kongo (r. 1568–1587)
Historical character,Africa,Iyasu the Great (r. 1682–1706)
Historical character,Africa,Muhammad Ali Pasha
Historical character,Africa,Menelik II
Historical character,Africa,Empress Taytu Betul
Historical character,Africa,Haile Selassie
Historical character,Africa,Jomo Kenyatta
Historical character,Africa,Daniel arap Moi
Historical character,Africa,Uhuru Kenyatta
Historical character,Africa,Julius Nyerere
Historical character,Africa,John Magufuli
Historical character,Africa,Samora Machel
Historical character,Africa,Eduardo Mondlane
Historical character,Africa,Shaka Zulu
Historical character,Africa,Cetshwayo
Historical character,Africa,Nelson Mandela
Historical character,Africa,Thabo Mbeki
Historical character,Africa,Jacob Zuma
Historical character,Africa,Cyril Ramaphosa
Historical character,Africa,Seretse Khama
Historical character,Africa,Ian Khama
Historical character,Africa,Robert Mugabe
Historical character,Africa,Joshua Nkomo
Historical character,Africa,Sam Nujoma
Historical character,Africa,Kwame Nkrumah
Historical character,Africa,Jerry Rawlings
Historical character,Africa,Olusegun Obasanjo
Historical character,Africa,Goodluck Jonathan
Historical character,Africa,Muhammadu Buhari
Historical character,Africa,Osei Tutu I
Historical character,Africa,Ahmad al-Mansur
Historical character,Africa,Mulai Ismail
Historical character,Africa,King Mohammed V
Historical character,Africa,King Hassan II
Historical character,Africa,Mohammed VI
Historical character,Africa,Abdelaziz Bouteflika
Historical character,Africa,Omar Mukhtar
Historical character,Africa,Frantz Fanon
Historical character,Africa,Ahmed ibn Ibrahim al-Ghazi
Historical character,Africa,Oliver Tambo
Historical character,Africa,Steve Biko
Historical character,Africa,Desmond Tutu
Historical character,Africa,Thomas Sankara
Historical character,Africa,Chinua Achebe
Historical character,Africa,Wole Soyinka
Historical character,Africa,Chimamanda Ngozi Adichie
Historical character,Africa,Fela Kuti
Historical character,Africa,Kofi Annan
Historical character,Africa,Wangari Maathai
Historical character,Africa,Usman dan Fodio
Historical character,Africa,Nana Asma’u
Historical character,Africa,Samuel Ajayi Crowther
Historical character,Africa,Ngozi Okonjo-Iweala
Historical character,Africa,Denis Sassou Nguesso
Historical character,Africa,Paul Biya
Historical character,Africa,Joseph Kabila
Historical character,Africa,Laurent-Désiré Kabila
Historical character,Africa,Mobutu Sese Seko
Historical character,Africa,Patrice Lumumba
Historical character,Africa,Ahmed Baba al-Timbukti
Historical character,Africa,Gamal Abdel Nasser
Historical character,"South America, Central America and the Caribbean",Manco Cápac (mythical first Inca ruler)
Historical character,"South America, Central America and the Caribbean",Mama Ocllo (mythical Inca queen)
Historical character,"South America, Central America and the Caribbean",Pachacuti Inca Yupanqui (Inca emperor)
Historical character,"South America, Central America and the Caribbean",Huayna Capac (Inca emperor)
Historical character,"South America, Central America and the Caribbean",Atahualpa (last Inca emperor)
Historical character,"South America, Central America and the Caribbean","Huáscar (Inca emperor, rival of Atahualpa)"
Historical character,"South America, Central America and the Caribbean",Túpac Amaru I (last Inca ruler executed by Spaniards)
Historical character,"South America, Central America and the Caribbean","Anacaona (Taíno cacica, Hispaniola)"
Historical character,"South America, Central America and the Caribbean","Hatuey (Taíno chief, Cuba)"
Historical character,"South America, Central America and the Caribbean","Guaicaipuro (Carib chief, Venezuela)"
Historical character,"South America, Central America and the Caribbean","Caupolicán (Mapuche leader, Chile)"
Historical character,"South America, Central America and the Caribbean","Lautaro (Mapuche leader, Chile)"
Historical character,"South America, Central America and the Caribbean","Tecún Umán (Maya-K’iche’ leader, Guatemala)"
Historical character,"South America, Central America and the Caribbean","Montezuma II (Aztec emperor, Mesoamerica)"
Historical character,"South America, Central America and the Caribbean","Bartolina Sisa (Aymara leader, Bolivia)"
Historical character,"South America, Central America and the Caribbean","Christopher Columbus (navigator, explorer of the Caribbean)"
Historical character,"South America, Central America and the Caribbean",Hernán Cortés (Spanish conquistador)
Historical character,"South America, Central America and the Caribbean",Francisco Pizarro (Spanish conquistador of the Incas)
Historical character,"South America, Central America and the Caribbean",Diego de Almagro (Spanish conquistador)
Historical character,"South America, Central America and the Caribbean",Vasco Núñez de Balboa (first European to see Pacific Ocean)
Historical character,"South America, Central America and the Caribbean","Pedro de Valdivia (conquistador, Chile)"
Historical character,"South America, Central America and the Caribbean",Gonzalo Jiménez de Quesada (founder of Bogotá)
Historical character,"South America, Central America and the Caribbean","Sebastián de Belalcázar (conquistador, founder of Quito/Cali)"
Historical character,"South America, Central America and the Caribbean",Sor Juana Inés de la Cruz (Mexican nun & writer)
Historical character,"South America, Central America and the Caribbean",Bartolomé de las Casas (defender of Indigenous rights)
Historical character,"South America, Central America and the Caribbean",José de Anchieta (Jesuit missionary in Brazil)
Historical character,"South America, Central America and the Caribbean","Antonio Vieira (Portuguese Jesuit, Brazil)"
Historical character,"South America, Central America and the Caribbean",Juan de Garay (founder of Buenos Aires)
Historical character,"South America, Central America and the Caribbean",Pedro Álvares Cabral (discoverer of Brazil)
Historical character,"South America, Central America and the Caribbean",Jean-Baptiste du Casse (French Caribbean governor/pirate)
Historical character,"South America, Central America and the Caribbean",Simón Bolívar (The Liberator)
Historical character,"South America, Central America and the Caribbean",José de San Martín (Argentina/Peru/Chile liberator)
Historical character,"South America, Central America and the Caribbean",Francisco de Miranda (precursor of Venezuelan independence)
Historical character,"South America, Central America and the Caribbean",Antonio José de Sucre (Bolivian independence hero)
Historical character,"South America, Central America and the Caribbean",Bernardo O’Higgins (Chile independence leader)
Historical character,"South America, Central America and the Caribbean",José Gervasio Artigas (Uruguayan independence hero)
Historical character,"South America, Central America and the Caribbean",Toussaint Louverture (Haitian Revolution leader)
Historical character,"South America, Central America and the Caribbean",Jean-Jacques Dessalines (Haitian independence leader)
Historical character,"South America, Central America and the Caribbean",Henri Christophe (Haiti)
Historical character,"South America, Central America and the Caribbean",Alexandre Pétion (Haiti)
Historical character,"South America, Central America and the Caribbean",Miguel Hidalgo y Costilla (Mexican independence leader)
Historical character,"South America, Central America and the Caribbean",José María Morelos (Mexican independence leader)
Historical character,"South America, Central America and the Caribbean","Manuela Sáenz (revolutionary, ally of Bolívar)"
Historical character,"South America, Central America and the Caribbean",Policarpa Salavarrieta (Colombian independence heroine)
Historical character,"South America, Central America and the Caribbean",Mariano Moreno (Argentine revolutionary)
Historical character,"South America, Central America and the Caribbean",Camilo Henríquez (Chilean intellectual of independence)
Historical character,"South America, Central America and the Caribbean","Vicente Guerrero (Mexican independence hero, president)"
Historical character,"South America, Central America and the Caribbean",Pedro I of Brazil (declared independence)
Historical character,"South America, Central America and the Caribbean",Domingos José Martins (Brazilian revolutionary)
Historical character,"South America, Central America and the Caribbean","José Prudencio Padilla (naval hero, Colombia/Venezuela)"
Historical character,"South America, Central America and the Caribbean","Domingo Faustino Sarmiento (Argentina, educator)"
Historical character,"South America, Central America and the Caribbean","Benito Juárez (Mexico, liberal reformer)"
Historical character,"South America, Central America and the Caribbean",Francisco Morazán (Central American unionist)
Historical character,"South America, Central America and the Caribbean",Rafael Carrera (Guatemalan conservative leader)
Historical character,"South America, Central America and the Caribbean","Juan Manuel de Rosas (Argentina, dictator)"
Historical character,"South America, Central America and the Caribbean",José Martí (Cuban writer and revolutionary)
Historical character,"South America, Central America and the Caribbean",Andrés Bello (Venezuelan scholar)
Historical character,"South America, Central America and the Caribbean",Juan Pablo Duarte (founder of Dominican Republic)
Historical character,"South America, Central America and the Caribbean",Eugenio María de Hostos (Puerto Rican educator)
Historical character,"South America, Central America and the Caribbean","José Hernández (Argentina, wrote Martín Fierro)"
Historical character,"South America, Central America and the Caribbean",Gertrudis Gómez de Avellaneda (Cuban writer)
Historical character,"South America, Central America and the Caribbean",Esteban Echeverría (Argentine romantic writer)
Historical character,"South America, Central America and the Caribbean",Juan Montalvo (Ecuadorian essayist)
Historical character,"South America, Central America and the Caribbean",Francisco Bilbao (Chilean intellectual)
Historical character,"South America, Central America and the Caribbean","Rubén Darío (Nicaraguan poet, modernismo)"
Historical character,"South America, Central America and the Caribbean","Jorge Isaacs (Colombian novelist, María)"
Historical character,"South America, Central America and the Caribbean",Clorinda Matto de Turner (Peruvian writer)
Historical character,"South America, Central America and the Caribbean",José Asunción Silva (Colombian poet)
Historical character,"South America, Central America and the Caribbean",Justo Sierra (Mexican educator)
Historical character,"South America, Central America and the Caribbean",Juan Bautista Alberdi (Argentine political thinker)
Historical character,"South America, Central America and the Caribbean","Manuel Zapata Olivella (Colombia, writer, promoter of Afro-Latin identity)"
Historical character,"South America, Central America and the Caribbean","Juan Domingo Perón (Argentina, populist leader)"
